category,category_href,subcat,subcat_href,name,stars,price,star_rating,review_raw,review_count,price_num
Programming & Tech,https://www.fiverr.com/categories/programming-tech?source=category_tree,Data Analysis & Reports,https://www.fiverr.com/categories/programming-tech/data-analysis-services?source=gallery-listing,I will build automated and insightful power bi report,5.0(10),Starting at€137.76,5.0,10,10.0,137.76
Programming & Tech,https://www.fiverr.com/categories/programming-tech?source=category_tree,Website Builders & CMS,https://www.fiverr.com/categories/programming-tech/web-cms-services?source=gallery-listing,I will build or redesign your existing squarespace website,5.0(68),Starting at€66.66,5.0,68,68.0,66.66
Lifestyle,https://www.fiverr.com/categories/lifestyle?source=category_tree,Cooking Lessons,https://www.fiverr.com/categories/lifestyle/cooking-lessons?source=gallery-listing,I will create original eastern food cooking video recipe,4.9(5),Starting at€17.78,4.9,5,5.0,17.78
Writing & Translation,https://www.fiverr.com/categories/writing-translation?source=category_tree,Legal Writing,https://www.fiverr.com/categories/writing-translation/legal-writing?source=gallery-listing,I will write gdpr privacy policy and terms and conditions for your website or app,5.0(2),Starting at€8.89,5.0,2,2.0,8.89
Writing & Translation,https://www.fiverr.com/categories/writing-translation?source=category_tree,Podcast Writing,https://www.fiverr.com/categories/writing-translation/podcast?source=gallery-listing,I will write podcast content and stories,nan,Starting at€8.89,5.0,1,17.0,8.89
Writing & Translation,https://www.fiverr.com/categories/writing-translation?source=category_tree,Email Copy,https://www.fiverr.com/categories/writing-translation/email-copy?source=gallery-listing,I will copywrite your customers favorite emails,5.0(57),Starting at€31.11,5.0,57,57.0,31.11
Digital Marketing,https://www.fiverr.com/categories/online-marketing?source=category_tree,Local SEO,https://www.fiverr.com/categories/online-marketing/local-seo-services?source=gallery-listing,I will do local SEO for your website,5.0(4),Starting at€88.88,5.0,4,4.0,88.88
Lifestyle,https://www.fiverr.com/categories/lifestyle?source=category_tree,Celebrity Impersonators,https://www.fiverr.com/categories/lifestyle/celebrity-impersonators?source=gallery-listing,I will record my impersonation sebastion maniscalco,5.0(11),Starting at€8.89,5.0,11,11.0,8.89
Writing & Translation,https://www.fiverr.com/categories/writing-translation?source=category_tree,Product Descriptions,https://www.fiverr.com/categories/writing-translation/product-description?source=gallery-listing,I will create outstanding amazon a plus enhanced brand content,5.0(57),Starting at€31.11,5.0,57,57.0,31.11
Lifestyle,https://www.fiverr.com/categories/lifestyle?source=category_tree,Personal StylistsNew,https://www.fiverr.com/categories/lifestyle/personal-stylists?source=gallery-listing,I will be your personal stylist,5.0(19),Starting at€22.22,5.0,19,19.0,22.22
Video & Animation,https://www.fiverr.com/categories/video-animation?source=category_tree,eLearning Video ProductionNew,https://www.fiverr.com/categories/video-animation/elearning-video-production?source=gallery-listing,I will edit your online course video,5.0(16),Starting at€66.66,5.0,16,16.0,66.66
Video & Animation,https://www.fiverr.com/categories/video-animation?source=category_tree,Product Photography,https://www.fiverr.com/categories/video-animation/product-photography?source=gallery-listing,I will produce unique recipes with food photography,5.0(9),Starting at€13.33,5.0,9,9.0,13.33
Music & Audio,https://www.fiverr.com/categories/music-audio?source=category_tree,Podcast EditingNew,https://www.fiverr.com/categories/music-audio/podcast-editing?source=gallery-listing,I will professionally do podcast editing,5.0(78),Starting at€17.78,5.0,78,78.0,17.78
Lifestyle,https://www.fiverr.com/categories/lifestyle?source=category_tree,Your Message On...,https://www.fiverr.com/categories/lifestyle/promote-your-message?source=gallery-listing,I will do happy birthday video song with a custom message,5.0(27),Starting at€8.89,5.0,27,27.0,8.89
Writing & Translation,https://www.fiverr.com/categories/writing-translation?source=category_tree,Podcast Writing,https://www.fiverr.com/categories/writing-translation/podcast?source=gallery-listing,I will write worthy podcast episodes for you,4.8(6),Starting at€13.33,4.8,6,6.0,13.33
Programming & Tech,https://www.fiverr.com/categories/programming-tech?source=category_tree,User Testing,https://www.fiverr.com/categories/programming-tech/user-testing-services?source=gallery-listing,I will user test your website or app,5.0(75),Starting at€31.11,5.0,75,75.0,31.11
Writing & Translation,https://www.fiverr.com/categories/writing-translation?source=category_tree,Creative Writing,https://www.fiverr.com/categories/writing-translation/creative-writing?source=gallery-listing,I will write an impeccable bio or biography,4.7(20),Starting at€13.33,4.7,20,20.0,13.33
Lifestyle,https://www.fiverr.com/categories/lifestyle?source=category_tree,Your Message On...,https://www.fiverr.com/categories/lifestyle/promote-your-message?source=gallery-listing,I will be your female model,4.9(6),Starting at€8.89,4.9,6,6.0,8.89
Digital Marketing,https://www.fiverr.com/categories/online-marketing?source=category_tree,E-Commerce Marketing,https://www.fiverr.com/categories/online-marketing/e-commerce-marketing?source=gallery-listing,I will get amazon a plus content on your amazon listing,4.9(135),Starting at€128.87,4.9,135,135.0,128.87
Video & Animation,https://www.fiverr.com/categories/video-animation?source=category_tree,Video Editing,https://www.fiverr.com/categories/video-animation/video-editing?source=gallery-listing,I will create a youtube top 10 list video,5.0(48),Starting at€57.77,5.0,48,48.0,57.77
Writing & Translation,https://www.fiverr.com/categories/writing-translation?source=category_tree,Website Content,https://www.fiverr.com/categories/writing-translation/website-content?source=gallery-listing,I will write an engaging and SEO optimized web page,4.9(16),Starting at€26.66,4.9,16,16.0,26.66
Digital Marketing,https://www.fiverr.com/categories/online-marketing?source=category_tree,Web Traffic,https://www.fiverr.com/categories/online-marketing/website-traffic?source=gallery-listing,I will send quality USA and eu traffic from 5k,5.0(119),Starting at€44.44,5.0,119,119.0,44.44
Video & Animation,https://www.fiverr.com/categories/video-animation?source=category_tree,Animated GIFs,https://www.fiverr.com/categories/video-animation/animated-gifs?source=gallery-listing,"I will animated GIF icon or banner for your website, app, social media",5.0(28),Starting at€8.89,5.0,28,28.0,8.89
Writing & Translation,https://www.fiverr.com/categories/writing-translation?source=category_tree,Grant Writing,https://www.fiverr.com/categories/writing-translation/grant-writing-services?source=gallery-listing,"I will write winning grant proposal, sponsorship, nonprofit, 501c3",5.0(11),Starting at€26.66,5.0,11,11.0,26.66
Video & Animation,https://www.fiverr.com/categories/video-animation?source=category_tree,3D Product Animation,https://www.fiverr.com/categories/video-animation/3d-product-animation?source=gallery-listing,I will render architectural realistic animation on lumion 10,5.0(8),Starting at€26.66,5.0,8,8.0,26.66
Business,https://www.fiverr.com/categories/business?source=category_tree,Business Plans,https://www.fiverr.com/categories/business/business-plans?source=gallery-listing,"I will business plans for loan, investor, bank, sba, proposal",5.0(22),Starting at€22.22,5.0,22,22.0,22.22
Video & Animation,https://www.fiverr.com/categories/video-animation?source=category_tree,Game Trailers,https://www.fiverr.com/categories/video-animation/game-trailers?source=gallery-listing,I will made your own game trailer in game engines,nan,Starting at€17.78,5.0,1,17.0,17.78
